# timestamp, device_id, image_path
0, 0, iphone7/IMG_0731.JPG
1, 1, iphone7/IMG_0732.JPG
2, 2, iphone7/IMG_0733.JPG
3, 3, iphone7/IMG_0734.JPG
4, 4, iphone7/IMG_0735.JPG
5, 5, iphone7/IMG_0736.JPG
6, 6, iphone7/IMG_0737.JPG
7, 7, iphone7/IMG_0738.JPG
8, 8, iphone7/IMG_0739.JPG
9, 9, iphone7/IMG_0740.JPG
10, 10, iphone7/IMG_0741.JPG
11, 11, iphone7/IMG_0742.JPG
12, 12, iphone7/IMG_0743.JPG
13, 13, iphone7/IMG_0744.JPG
14, 14, iphone7/IMG_0745.JPG
15, 15, iphone7/IMG_0746.JPG
16, 16, iphone7/IMG_0747.JPG
17, 17, iphone7/IMG_0748.JPG
18, 18, iphone7/IMG_0749.JPG
19, 19, iphone7/IMG_0750.JPG
20, 20, iphone7/IMG_0751.JPG
21, 21, iphone7/IMG_0752.JPG
22, 22, iphone7/IMG_0753.JPG
23, 23, iphone7/IMG_0754.JPG
24, 24, iphone7/IMG_0755.JPG
25, 25, iphone7/IMG_0756.JPG
26, 26, iphone7/IMG_0757.JPG
27, 27, iphone7/IMG_0758.JPG
28, 28, iphone7/IMG_0759.JPG
29, 29, iphone7/IMG_0760.JPG
30, 30, iphone7/IMG_0761.JPG
31, 31, iphone7/IMG_0762.JPG
32, 32, iphone7/IMG_0763.JPG
33, 33, iphone7/IMG_0764.JPG
34, 34, iphone7/IMG_0765.JPG
35, 35, iphone7/IMG_0766.JPG
36, 36, iphone7/IMG_0767.JPG
37, 37, iphone7/IMG_0768.JPG
38, 38, iphone7/IMG_0769.JPG
39, 39, iphone7/IMG_0770.JPG
40, 40, iphone7/IMG_0771.JPG
41, 41, iphone7/IMG_0772.JPG
42, 42, iphone7/IMG_0773.JPG
43, 43, iphone7/IMG_0774.JPG
44, 44, iphone7/IMG_0800.JPG
45, 45, iphone7/IMG_0801.JPG
46, 46, iphone7/IMG_0802.JPG
47, 47, iphone7/IMG_0803.JPG
48, 48, iphone7/IMG_0804.JPG
49, 49, iphone7/IMG_0805.JPG
50, 50, iphone7/IMG_0806.JPG
51, 51, iphone7/IMG_0807.JPG
52, 52, iphone7/IMG_0808.JPG
53, 53, iphone7/IMG_0809.JPG
54, 54, iphone7/IMG_0810.JPG
55, 55, iphone7/IMG_0811.JPG
56, 56, iphone7/IMG_0812.JPG
57, 57, iphone7/IMG_0813.JPG
58, 58, iphone7/IMG_0814.JPG
59, 59, iphone7/IMG_0815.JPG
60, 60, iphone7/IMG_0816.JPG
61, 61, iphone7/IMG_0817.JPG
62, 62, iphone7/IMG_0818.JPG
63, 63, iphone7/IMG_0819.JPG
64, 64, iphone7/IMG_0820.JPG
65, 65, iphone7/IMG_0821.JPG
66, 66, iphone7/IMG_0822.JPG
67, 67, iphone7/IMG_0823.JPG
68, 68, iphone7/IMG_0824.JPG
69, 69, iphone7/IMG_0825.JPG
70, 70, iphone7/IMG_0826.JPG
71, 71, iphone7/IMG_0827.JPG
72, 72, iphone7/IMG_0828.JPG
73, 73, iphone7/IMG_0829.JPG
74, 74, iphone7/IMG_0830.JPG
75, 75, iphone7/IMG_0831.JPG
76, 76, iphone7/IMG_0832.JPG
77, 77, iphone7/IMG_0833.JPG
78, 78, iphone7/IMG_0834.JPG
79, 79, iphone7/IMG_0835.JPG
80, 80, iphone7/IMG_0836.JPG
81, 81, iphone7/IMG_0837.JPG
82, 82, iphone7/IMG_0838.JPG
83, 83, iphone7/IMG_0839.JPG
84, 84, iphone7/IMG_0840.JPG
85, 85, iphone7/IMG_0841.JPG
86, 86, iphone7/IMG_0842.JPG
87, 87, iphone7/IMG_0843.JPG
88, 88, iphone7/IMG_0844.JPG
89, 89, iphone7/IMG_0845.JPG
90, 90, iphone7/IMG_0846.JPG
91, 91, iphone7/IMG_0847.JPG
92, 92, iphone7/IMG_0848.JPG
93, 93, iphone7/IMG_0849.JPG
94, 94, iphone7/IMG_0850.JPG
95, 95, iphone7/IMG_0851.JPG
96, 96, iphone7/IMG_0852.JPG
97, 97, iphone7/IMG_0853.JPG
98, 98, iphone7/IMG_0854.JPG
99, 99, iphone7/IMG_0855.JPG
100, 100, iphone7/IMG_0856.JPG
101, 101, iphone7/IMG_0857.JPG
102, 102, iphone7/IMG_0858.JPG
103, 103, iphone7/IMG_0859.JPG
104, 104, iphone7/IMG_0860.JPG
105, 105, iphone7/IMG_0861.JPG
106, 106, iphone7/IMG_0862.JPG
107, 107, iphone7/IMG_0863.JPG
108, 108, iphone7/IMG_0864.JPG
