id,image_name,captured_at,sequence,lat,long,orientation
0,IMG_1915.JPG,2024:12:05 16:19:34,custom,52.303752777777774,4.86086111111111,306.8191834089436
1,IMG_1916.JPG,2024:12:05 16:19:45,custom,52.303755555555554,4.860969444444444,308.6973266878115
2,IMG_1917.JPG,2024:12:05 16:19:53,custom,52.303752777777774,4.860980555555555,304.1198428290766
3,IMG_1918.JPG,2024:12:05 16:20:02,custom,52.303733333333334,4.861036111111111,300.67935165609583
4,IMG_1919.JPG,2024:12:05 16:20:09,custom,52.30376388888889,4.860894444444444,302.1093445814406
5,IMG_1920.JPG,2024:12:05 16:20:15,custom,52.30376111111111,4.860852777777778,307.5502318392581
6,IMG_1921.JPG,2024:12:05 16:20:28,custom,52.30374166666667,4.860930555555555,294.3853452820243
7,IMG_1922.JPG,2024:12:05 16:20:33,custom,52.30373888888889,4.860888888888889,293.051116838488
8,IMG_1923.JPG,2024:12:05 16:20:53,custom,52.30373055555555,4.860894444444444,302.6779176201373
9,IMG_1924.JPG,2024:12:05 16:21:17,custom,52.303713888888886,4.860986111111111,302.0811764705882
10,IMG_1925.JPG,2024:12:05 16:21:23,custom,52.30374722222222,4.861027777777777,298.2527010804322
11,IMG_1926.JPG,2024:12:05 16:21:28,custom,52.303755555555554,4.861033333333333,295.70040899795504
12,IMG_1927.JPG,2024:12:05 16:21:37,custom,52.303733333333334,4.861063888888888,311.18179317931794
13,IMG_1928.JPG,2024:12:05 16:21:42,custom,52.30374166666667,4.861055555555555,310.31413261888815
14,IMG_1929.JPG,2024:12:05 16:21:48,custom,52.30377222222222,4.860963888888889,305.621062992126
15,IMG_1930.JPG,2024:12:05 16:21:54,custom,52.303733333333334,4.860972222222222,301.3435972629521
16,IMG_1931.JPG,2024:12:05 16:22:02,custom,52.303752777777774,4.860961111111111,298.4587400177462
17,IMG_1932.JPG,2024:12:05 16:22:10,custom,52.30374722222222,4.860997222222222,305.44320675105484
18,IMG_1933.JPG,2024:12:05 16:22:38,custom,52.30376388888889,4.860963888888889,302.3699949315763
19,IMG_1934.JPG,2024:12:05 16:22:43,custom,52.30378333333333,4.860997222222222,302.6615905245347
20,IMG_1935.JPG,2024:12:05 16:22:50,custom,52.303774999999995,4.860977777777777,299.3848728246319
21,IMG_1936.JPG,2024:12:05 16:22:57,custom,52.30379444444444,4.860980555555555,306.7443389335281
22,IMG_1937.JPG,2024:12:05 16:23:04,custom,52.30376111111111,4.860961111111111,310.2422178988327
23,IMG_1938.JPG,2024:12:05 16:23:10,custom,52.303752777777774,4.860936111111111,298.6716306775875
24,IMG_1939.JPG,2024:12:05 16:23:16,custom,52.303713888888886,4.860963888888889,303.43537906137186
25,IMG_1940.JPG,2024:12:05 16:23:25,custom,52.30374444444444,4.860972222222222,300.09963985594237
26,IMG_1941.JPG,2024:12:05 16:23:32,custom,52.303733333333334,4.861002777777777,307.2655027092113
